Run ID,Process Start Time,Feed Type,Feed (g),Additive 1 (g),Additive 2 (g),Additive 3 (g),Run,Weight before Drying,Weight after Drying,Output A (g),Speed (RPM),Date
217,11.00,A,432.05,155.12,6.08,,217.0,2080.0,1141.0,1101.00,876.0,15/03/2024
218,10.00,A,329.01,37.12,5.61,,218.0,1278.0,661.0,1155.00,564.0,18/03/2024
223,11.00,A,379.34,0.0,11.52,,223.0,2390.0,1406.0,250.00,601.0,11/04/2024
224,10.30,A,553.11,208.0,0.0,,224.0,1220.0,332.0,1207.00,788.0,12/04/2024
225,11.20,A,425.38,54.06,11.02,,225.0,1428.0,869.0,364.00,678.0,15/04/2024
226,10.00,A,559.83,0.0,0.0,,226.0,1114.0,287.0,396.00,937.0,16/04/2024
229,11.30,A,640.34,220.54,6.08,,229.0,876.0,238.0,1239.00,852.0,19/04/2024
230,11.30,A,539,83.55,3.0,,230.0,1567.0,572.0,295.00,802.0,22/04/2024
233,9.50,A,369.64,72.75,6.54,,233.0,854.0,337.0,596.00,535.0,25/04/2024
234,10.30,A,605.52,154.7,0.0,,234.0,1128.0,414.0,572.00,766.0,26/04/2024
241,9.30,A,477.8,155.08,8.54,,241.0,1983.0,400.0,500.00,602.0,08/05/2024
242,12.00,A,553.46,5.01,10.51,,242.0,952.0,440.0,399.00,769.0,13/05/2024
243,9.30,A,539.18,189.0,8.52,,243.0,738.0,200.0,559.00,543.0,14/05/2024
244,9.30,A,519.55,204.12,1.0,,244.0,2046.0,292.0,389.00,794.0,15/05/2024
245,9.45,A,530.12,173.0,16.1,,245.0,1173.0,295.0,974.00,564.0,16/05/2024
249,10.00,A,484.33,152.0,2.0,,249.0,1495.0,678.0,966.00,608.0,24/05/2024
250,10.15,A,665,191.0,0.0,,250.0,1764.0,597.0,238.00,665.0,27/05/2024
253,11.30,A,548,90.0,0.0,,253.0,1430.0,925.0,789.00,678.0,30/05/2024
254,9.45,A,470,33.0,13.0,,254.0,1418.0,408.0,317.00,621.0,31/05/2024
257,9.45,A,1542,74.0,0.0,,257.0,3216.0,322.0,1224.00,690.0,05/06/2024
258,9.30,A,1529,75.0,1.0,,258.0,4804.0,1066.0,1578.00,825.0,06/06/2024
259,10.15,A,967,47.0,0.0,,259.0,1900.0,1012.0,260.00,787.0,10/06/2024
262,10.15,A,564.42,270.0,0.5,,262.0,1048.0,337.0,249.00,801.0,12/06/2024
263,0.00,A,430,244.12,1.54,,263.0,717.0,200.0,611.00,650.0,13/06/2024
264,8.40,A,558,240.0,0.0,12.0,264.0,1023.0,361.0,189.00,604.0,14/06/2024
273,11.15,A,571.07,143.04,15.03,38.03,273.0,834.0,210.0,515.00,725.0,02/07/2024
274,10.30,A,394,84.0,14.0,41.0,274.0,1553.0,364.0,1004.00,640.0,03/07/2024
277,11.30,A,606.27,148.0,3.08,0.0,277.0,949.0,237.0,334.00,716.0,08/07/2024
278,9.00,A,532.21,203.0,12.01,0.0,278.0,1209.0,222.0,883.00,800.0,09/07/2024
281,10.30,A,515.05,0.0,1.81,25.81,281.0,1950.0,677.0,3229.00,822.0,15/07/2024
287,10.30,B,380.11,90.55,11.05,10.05,287.0,1681.0,591.0,440.00,569.0,23/07/2024
288,11.30,A,520,0.0,0.0,0.0,288.0,1082.0,209.0,446.00,847.0,24/07/2024
289,10.30,A,599,134.25,13.75,10.75,289.0,2024.0,348.0,598.00,603.0,25/07/2024
290,9.30,B,427.22,169.03,4.09,0.0,290.0,937.0,373.0,1735.00,976.0,26/07/2024
291,8.55,A,566.03,135.02,14.01,34.01,291.0,2212.0,1450.0,425.00,658.0,29/07/2024
292,6.30,A,572.05,158.0,9.01,0.0,292.0,764.0,246.0,1798.00,661.0,30/07/2024
295,10.30,A,484,13.0,1.25,6.25,295.0,1186.0,608.0,693.00,620.0,01/08/2024
296,9.00,A,499,114.0,9.0,9.0,296.0,1669.0,871.0,1826.00,606.0,02/08/2024
299,11.30,A,476,218.0,19.53,0.0,299.0,1175.0,346.0,222.00,773.0,06/08/2024
300,6.45,A,489.04,104.0,8.01,13.01,300.0,716.32,207.32,175.00,386.0,07/08/2024
301,11.30,A,465.01,256.04,14.53,0.0,301.0,957.0,229.0,408.00,756.0,07/08/2024
302,10.30,A,665.22,0.0,6.78,3.78,302.0,2355.0,1173.0,903.00,653.0,08/08/2024
303,10.15,B,534.07,186.04,5.01,0.0,303.0,1124.0,564.0,565.00,753.0,09/08/2024
304,10.00,A,581.07,84.04,0.0,0.0,304.0,849.0,347.0,747.00,605.0,12/08/2024
304,10.00,A,581.07,84.04,0.0,0.0,304.0,2214.0,419.0,250.00,742.0,12/08/2024
308,10.30,B,501.12,239.99,5.02,15.02,308.0,759.0,233.0,471.00,547.0,16/08/2024
309,0.00,A,559,31.0,0.0,23.0,309.0,862.0,262.0,685.00,737.0,19/08/2024
310,10.50,A,467.1,8.0,6.03,0.0,310.0,2076.0,794.0,500.00,829.0,20/08/2024
311,10.30,A,549.62,55.0,4.03,6.03,311.0,858.0,327.0,1057.00,796.0,21/08/2024
317,10.30,A,546,195.0,2.0,23.0,317.0,2003.0,1058.0,501.00,604.0,03/09/2024
318,9.15,A,461.72,82.21,8.1,0.0,318.0,1255.0,436.0,350.00,687.0,05/09/2024
319,10.15,B,468.08,83.01,0.0,0.0,319.0,1310.0,216.0,595.00,601.0,06/09/2024
320,10.00,A,582,110.42,3.09,3.0,320.0,1083.0,383.0,604.50,751.0,09/09/2024
323,10.30,A,475.32,105.0,0.0,11.0,323.0,960.0,207.0,410.00,670.0,12/09/2024
324,10.30,A,453.06,240.0,9.0,0.0,324.0,1807.0,323.0,0.00,442.0,13/09/2024
